user_id,item_id
395,5820
395,17071
395,17960
395,8059
395,17072
812,5820
812,11322
812,11395
812,14962
812,12778
1337,11322
1337,11395
1337,5820
1337,17071
1337,17072
2086,5820
2086,11322
2086,11395
2086,6452
2086,17205
1159,6193
1159,8014
1159,5702
1159,8059
1159,6044
502,17071
502,17072
502,8014
502,5702
502,6193
1150,17742
1150,5820
1150,12010
1150,9592
1150,17071
697,5820
697,17621
697,13206
697,6193
697,5702
2641,5820
2641,17071
2641,17072
2641,6452
2641,11174
1540,10307
1540,9916
1540,5820
1540,13862
1540,11322
1834,6452
1834,5820
1834,5702
1834,6193
1834,8014
551,5820
551,11322
551,11395
551,11534
551,11174
1972,5820
1972,17072
1972,17760
1972,17071
1972,14962
2159,17960
2159,17071
2159,11174
2159,7491
2159,18096
1398,17072
1398,17071
1398,5820
1398,6193
1398,8014
7,8059
7,17071
7,13347
7,17072
7,14962
1923,7485
1923,6452
1923,14907
1923,14962
1923,16016
2787,5820
2787,6452
2787,18203
2787,15855
2787,15859
2286,5820
2286,11322
2286,11395
2286,14962
2286,17960
681,15426
681,15965
681,15871
681,15886
681,16157
2146,6452
2146,17071
2146,6718
2146,17072
2146,10307
1883,8014
1883,6193
1883,5702
1883,17071
1883,17072
976,5690
976,17071
976,17874
976,8014
976,5702
1695,17071
1695,17072
1695,5702
1695,6193
1695,8014
1329,5702
1329,8014
1329,6193
1329,17071
1329,17072
568,5820
568,14962
568,17071
568,12778
568,17072
670,11322
670,11395
670,17071
670,17960
670,17072
301,16978
301,9360
301,17171
301,16973
301,17173
746,8839
746,17691
746,17567
746,13667
746,15530
1579,7491
1579,11174
1579,17455
1579,5820
1579,11322
954,15630
954,17740
954,17836
954,13052
954,5656
1094,10682
1094,6781
1094,13584
1094,17252
1094,8059
2609,8059
2609,5820
2609,11322
2609,6338
2609,11395
304,8112
304,17071
304,17072
304,5820
304,6071
2356,8014
2356,6193
2356,5702
2356,5820
2356,6044
416,5702
416,8014
416,6193
416,6044
416,11023
1675,5820
1675,11322
1675,6452
1675,11395
1675,17960
1881,17071
1881,17072
1881,5702
1881,6193
1881,7491
1567,6452
1567,17071
1567,17072
1567,17369
1567,9446
2445,5702
2445,8014
2445,6193
2445,6044
2445,12778
388,17071
388,17072
388,5820
388,18339
388,11322
1288,17071
1288,17072
1288,5820
1288,12778
1288,11954
2130,14962
2130,16193
2130,8059
2130,5820
2130,10307
1010,5820
1010,5702
1010,6193
1010,8014
1010,17760
2270,5820
2270,14962
2270,12778
2270,11954
2270,16016
2714,8059
2714,6452
2714,8014
2714,6193
2714,5702
2746,6452
2746,17071
2746,13692
2746,17072
2746,18339
1643,17071
1643,17072
1643,8170
1643,18339
1643,8846
2698,5820
2698,11322
2698,11395
2698,14962
2698,15030
2675,5820
2675,6452
2675,17071
2675,14962
2675,17072
2701,17071
2701,5820
2701,17072
2701,14962
2701,18339
563,16910
563,11144
563,17071
563,17072
563,17960
721,12694
721,13916
721,12936
721,17671
721,15094
1239,5820
1239,8846
1239,8842
1239,17340
1239,18148
2168,11322
2168,11395
2168,17960
2168,5820
2168,6629
1846,6452
1846,15827
1846,8846
1846,8842
1846,11322
802,17071
802,5820
802,17072
802,18339
802,14885
60,6641
60,12460
60,5850
60,5820
60,7143
1669,17071
1669,17072
1669,5820
1669,14630
1669,18339
1366,17071
1366,17072
1366,5820
1366,18339
1366,17960
2292,14704
2292,13132
2292,5702
2292,8014
2292,6193
2380,18096
2380,5820
2380,17072
2380,14962
2380,8678
2642,10704
2642,5820
2642,18021
2642,17072
2642,17071
2790,5820
2790,17071
2790,17072
2790,17960
2790,17307
2704,5820
2704,10307
2704,13862
2704,18148
2704,14962
1183,5820
1183,12778
1183,17205
1183,17340
1183,15530
1935,17071
1935,17072
1935,10429
1935,9531
1935,18339
19,16761
19,6329
19,16043
19,16593
19,10354
2273,5820
2273,6193
2273,8014
2273,5702
2273,12208
2355,17071
2355,17072
2355,12955
2355,18339
2355,8846
1656,17071
1656,17072
1656,18339
1656,5702
1656,8014
154,8861
154,7226
154,8059
154,9290
154,7603
57,11322
57,18011
57,11395
57,17071
57,17072
285,17071
285,17072
285,11322
285,6193
285,5702
1601,18096
1601,15530
1601,14906
1601,18315
1601,15855
2743,17071
2743,17072
2743,11322
2743,11395
2743,18339
126,13052
126,13520
126,6220
126,15630
126,5656
2240,5820
2240,12778
2240,5702
2240,8014
2240,11954
2209,17071
2209,17072
2209,5820
2209,18339
2209,11322
448,8059
448,12226
448,13418
448,12295
448,11514
2726,17072
2726,17071
2726,16188
2726,5820
2726,7491
107,17071
107,17072
107,9197
107,8673
107,18339
990,5820
990,14962
990,5702
990,8014
990,6193
1652,17071
1652,5820
1652,17072
1652,18339
1652,11689
715,17071
715,17072
715,12743
715,5820
715,14962
2135,6193
2135,8014
2135,5702
2135,6452
2135,11174
2539,17071
2539,17072
2539,6193
2539,8014
2539,5702
1358,10029
1358,7491
1358,5820
1358,7651
1358,10307
1913,5820
1913,12221
1913,11322
1913,11395
1913,14962
485,17071
485,17072
485,18339
485,15685
485,16510
409,17072
409,17071
409,14412
409,13594
409,18339
2082,8014
2082,6193
2082,5702
2082,5820
2082,6044
501,17071
501,17072
501,18339
501,8059
501,11322
403,17884
403,9245
403,18262
403,17071
403,17072
2021,17071
2021,17072
2021,5820
2021,18339
2021,17960
1609,17071
1609,17072
1609,18339
1609,8059
1609,5820
814,5702
814,6193
814,8014
814,15990
814,5820
2494,5820
2494,6193
2494,5702
2494,8014
2494,6044
614,17071
614,17072
614,18339
614,5702
614,8014
1266,8846
1266,8842
1266,8840
1266,8839
1266,8841
1103,17071
1103,17072
1103,18339
1103,14625
1103,11046
1076,6452
1076,8014
1076,5702
1076,6193
1076,6310
2591,17071
2591,17072
2591,5820
2591,18339
2591,11322
2617,7625
2617,7491
2617,11174
2617,17071
2617,17455
1828,6452
1828,6835
1828,5820
1828,8014
1828,5702
659,17071
659,17072
659,18339
659,6193
659,8014
803,5820
803,8842
803,15530
803,8846
803,17071
2672,7491
2672,11174
2672,17455
2672,17118
2672,5820
1596,5702
1596,6193
1596,5820
1596,8014
